data,abertura,alta,baixa,fechamento,var_abertura,media_movel_180,media_movel_240,media_movel_360,media_movel_480
2006-02-17,38256.0,38642.0,38256.0,38422.0,1011.0,30241.555555555555,29137.183333333334,27675.94722222222,26039.039583333335
2006-02-20,38418.0,38678.0,38032.0,38539.0,162.0,30308.527777777777,29176.35,27719.119444444445,26071.889583333334
2006-02-21,38541.0,38978.0,38166.0,38166.0,123.0,30380.666666666668,29218.141666666666,27762.069444444445,26104.372916666667
2006-02-22,38166.0,38633.0,38056.0,38246.0,-375.0,30453.666666666668,29258.1375,27803.980555555554,26135.664583333335
2006-02-23,38242.0,38522.0,37747.0,38405.0,76.0,30528.88888888889,29300.5,27846.025,26167.291666666668
2006-02-24,38406.0,38610.0,38337.0,38610.0,164.0,30606.233333333334,29343.4125,27889.516666666666,26200.53125
2006-02-27,38406.0,38610.0,38337.0,38610.0,0.0,30680.96111111111,29388.491666666665,27932.466666666667,26233.770833333332
2006-02-28,38406.0,38610.0,38337.0,38610.0,0.0,30756.005555555555,29432.583333333332,27975.31388888889,26266.439583333333
2006-03-01,38610.0,39203.0,38533.0,39178.0,204.0,30827.483333333334,29476.425,28019.13611111111,26299.425
2006-03-02,39182.0,39367.0,38989.0,39126.0,572.0,30903.61111111111,29524.7375,28063.44722222222,26333.933333333334
2006-03-03,39129.0,39356.0,38716.0,39240.0,-53.0,30977.92777777778,29573.529166666667,28107.666666666668,26368.96875
2006-03-06,39241.0,39395.0,38348.0,38354.0,112.0,31050.972222222223,29626.145833333332,28152.097222222223,26405.45625
2006-03-07,38350.0,38350.0,37130.0,37423.0,-891.0,31119.327777777777,29676.491666666665,28192.558333333334,26439.991666666665
2006-03-08,37421.0,37421.0,36446.0,37289.0,-929.0,31184.277777777777,29721.141666666666,28229.422222222223,26472.895833333332
2006-03-09,37289.0,37739.0,36085.0,36312.0,-132.0,31248.783333333333,29767.1,28265.766666666666,26505.525
2006-03-10,36328.0,37161.0,36218.0,36891.0,-961.0,31312.766666666666,29810.7125,28299.972222222223,26537.295833333334
2006-03-13,36891.0,37259.0,36513.0,36793.0,563.0,31379.28888888889,29854.129166666666,28335.44722222222,26570.10625
2006-03-14,36789.0,37541.0,36417.0,37541.0,-102.0,31443.527777777777,29896.533333333333,28371.172222222223,26601.775
2006-03-15,37546.0,38341.0,37543.0,38244.0,757.0,31511.744444444445,29941.433333333334,28409.0,26635.570833333335
2006-03-16,38245.0,38578.0,37962.0,38157.0,699.0,31584.594444444443,29990.758333333335,28448.7,26670.8375
2006-03-17,38159.0,38268.0,37769.0,38049.0,-86.0,31657.416666666668,30041.2625,28490.01111111111,26707.666666666668
2006-03-20,38049.0,38500.0,37978.0,38204.0,-110.0,31728.166666666668,30092.7375,28531.922222222223,26745.5375
2006-03-21,38204.0,38204.0,37351.0,37398.0,155.0,31801.28888888889,30142.316666666666,28573.133333333335,26784.25
2006-03-22,37398.0,37851.0,37156.0,37851.0,-806.0,31871.96111111111,30190.291666666668,28611.98611111111,26821.102083333335
2006-03-23,37850.0,38128.0,37207.0,37474.0,452.0,31946.055555555555,30240.083333333332,28653.533333333333,26858.2625
2006-03-24,37473.0,37775.0,37301.0,37577.0,-377.0,32018.394444444446,30287.029166666667,28694.088888888888,26894.625
2006-03-27,37577.0,37893.0,37153.0,37641.0,104.0,32091.46111111111,30334.979166666668,28734.411111111112,26932.94375
2006-03-28,37640.0,37731.0,36682.0,36682.0,63.0,32161.533333333333,30387.645833333332,28775.81388888889,26972.577083333334
2006-03-29,36684.0,37492.0,36684.0,37492.0,-956.0,32223.35,30437.7625,28814.92777777778,27012.320833333335
2006-03-30,37493.0,38089.0,37469.0,37777.0,809.0,32287.983333333334,30490.329166666666,28855.57222222222,27051.8
2006-03-31,37783.0,38016.0,37619.0,37952.0,290.0,32353.911111111112,30541.233333333334,28896.161111111112,27092.335416666665
2006-04-03,37952.0,38851.0,37952.0,38717.0,169.0,32424.633333333335,30594.941666666666,28937.847222222223,27133.025
2006-04-04,38718.0,39086.0,38606.0,38802.0,766.0,32499.11111111111,30653.0625,28981.369444444445,27174.91875
2006-04-05,38803.0,39054.0,38475.0,39053.0,85.0,32574.305555555555,30709.608333333334,29025.12777777778,27217.997916666667
2006-04-06,39053.0,39310.0,38700.0,39285.0,250.0,32648.455555555556,30766.933333333334,29068.955555555556,27260.604166666668
2006-04-07,39285.0,39397.0,38630.0,38926.0,232.0,32723.183333333334,30825.4625,29112.358333333334,27303.514583333334
2006-04-10,38927.0,38927.0,38239.0,38475.0,-358.0,32798.4,30885.766666666666,29154.2,27346.614583333332
2006-04-11,38478.0,38885.0,37823.0,37901.0,-449.0,32876.02222222222,30942.5625,29195.68888888889,27388.677083333332
2006-04-12,37901.0,38448.0,37816.0,38427.0,-577.0,32948.35,30997.520833333332,29236.48888888889,27428.73125
2006-04-13,38426.0,38479.0,37984.0,38082.0,525.0,33021.05,31054.554166666665,29278.719444444443,27469.49375
